NoDropout,SGD,tanh,32
NoDropout,SGD,tanh,64
NoDropout,SGD,tanh,128
NoDropout,SGD,tanh,256
NoDropout,SGD,relu,32
NoDropout,SGD,relu,64
NoDropout,SGD,relu,128
NoDropout,SGD,relu,256
NoDropout,SGD,sigmoid,32
NoDropout,SGD,sigmoid,64
NoDropout,SGD,sigmoid,128
NoDropout,SGD,sigmoid,256
NoDropout,SGD,softmax,32
NoDropout,SGD,softmax,64
NoDropout,SGD,softmax,128
NoDropout,SGD,softmax,256
NoDropout,Adam,tanh,32
NoDropout,Adam,tanh,64
NoDropout,Adam,tanh,128
NoDropout,Adam,tanh,256
NoDropout,Adam,relu,32
NoDropout,Adam,relu,64
NoDropout,Adam,relu,128
NoDropout,Adam,relu,256
NoDropout,Adam,sigmoid,32
NoDropout,Adam,sigmoid,64
NoDropout,Adam,sigmoid,128
NoDropout,Adam,sigmoid,256
NoDropout,Adam,softmax,32
NoDropout,Adam,softmax,64
NoDropout,Adam,softmax,128
NoDropout,Adam,softmax,256
NoDropout,Adamax,tanh,32
NoDropout,Adamax,tanh,64
NoDropout,Adamax,tanh,128
NoDropout,Adamax,tanh,256
NoDropout,Adamax,relu,32
NoDropout,Adamax,relu,64
NoDropout,Adamax,relu,128
NoDropout,Adamax,relu,256
NoDropout,Adamax,sigmoid,32
NoDropout,Adamax,sigmoid,64
NoDropout,Adamax,sigmoid,128
NoDropout,Adamax,sigmoid,256
NoDropout,Adamax,softmax,32
NoDropout,Adamax,softmax,64
NoDropout,Adamax,softmax,128
NoDropout,Adamax,softmax,256
DropoutDescending[0.2;0.1;],SGD,tanh,32
DropoutDescending[0.2;0.1;],SGD,tanh,64
DropoutDescending[0.2;0.1;],SGD,tanh,128
DropoutDescending[0.2;0.1;],SGD,tanh,256
DropoutDescending[0.2;0.1;],SGD,relu,32
DropoutDescending[0.2;0.1;],SGD,relu,64
DropoutDescending[0.2;0.1;],SGD,relu,128
DropoutDescending[0.2;0.1;],SGD,relu,256
DropoutDescending[0.2;0.1;],SGD,sigmoid,32
DropoutDescending[0.2;0.1;],SGD,sigmoid,64
DropoutDescending[0.2;0.1;],SGD,sigmoid,128
DropoutDescending[0.2;0.1;],SGD,sigmoid,256
DropoutDescending[0.2;0.1;],SGD,softmax,32
DropoutDescending[0.2;0.1;],SGD,softmax,64
DropoutDescending[0.2;0.1;],SGD,softmax,128
DropoutDescending[0.2;0.1;],SGD,softmax,256
DropoutDescending[0.2;0.1;],Adam,tanh,32
DropoutDescending[0.2;0.1;],Adam,tanh,64
DropoutDescending[0.2;0.1;],Adam,tanh,128
DropoutDescending[0.2;0.1;],Adam,tanh,256
DropoutDescending[0.2;0.1;],Adam,relu,32
DropoutDescending[0.2;0.1;],Adam,relu,64
DropoutDescending[0.2;0.1;],Adam,relu,128
DropoutDescending[0.2;0.1;],Adam,relu,256
DropoutDescending[0.2;0.1;],Adam,sigmoid,32
DropoutDescending[0.2;0.1;],Adam,sigmoid,64
DropoutDescending[0.2;0.1;],Adam,sigmoid,128
DropoutDescending[0.2;0.1;],Adam,sigmoid,256
DropoutDescending[0.2;0.1;],Adam,softmax,32
DropoutDescending[0.2;0.1;],Adam,softmax,64
DropoutDescending[0.2;0.1;],Adam,softmax,128
DropoutDescending[0.2;0.1;],Adam,softmax,256
DropoutDescending[0.2;0.1;],Adamax,tanh,32
DropoutDescending[0.2;0.1;],Adamax,tanh,64
DropoutDescending[0.2;0.1;],Adamax,tanh,128
DropoutDescending[0.2;0.1;],Adamax,tanh,256
DropoutDescending[0.2;0.1;],Adamax,relu,32
DropoutDescending[0.2;0.1;],Adamax,relu,64
DropoutDescending[0.2;0.1;],Adamax,relu,128
DropoutDescending[0.2;0.1;],Adamax,relu,256
DropoutDescending[0.2;0.1;],Adamax,sigmoid,32
DropoutDescending[0.2;0.1;],Adamax,sigmoid,64
DropoutDescending[0.2;0.1;],Adamax,sigmoid,128
DropoutDescending[0.2;0.1;],Adamax,sigmoid,256
DropoutDescending[0.2;0.1;],Adamax,softmax,32
DropoutDescending[0.2;0.1;],Adamax,softmax,64
DropoutDescending[0.2;0.1;],Adamax,softmax,128
DropoutDescending[0.2;0.1;],Adamax,softmax,256
DropoutConstant[0.2;0.2;],SGD,tanh,32
DropoutConstant[0.1;0.1;],SGD,tanh,32
DropoutConstant[0.2;0.2;],SGD,tanh,64
DropoutConstant[0.1;0.1;],SGD,tanh,64
DropoutConstant[0.2;0.2;],SGD,tanh,128
DropoutConstant[0.1;0.1;],SGD,tanh,128
DropoutConstant[0.2;0.2;],SGD,tanh,256
DropoutConstant[0.1;0.1;],SGD,tanh,256
DropoutConstant[0.2;0.2;],SGD,relu,32
DropoutConstant[0.1;0.1;],SGD,relu,32
DropoutConstant[0.2;0.2;],SGD,relu,64
DropoutConstant[0.1;0.1;],SGD,relu,64
DropoutConstant[0.2;0.2;],SGD,relu,128
DropoutConstant[0.1;0.1;],SGD,relu,128
DropoutConstant[0.2;0.2;],SGD,relu,256
DropoutConstant[0.1;0.1;],SGD,relu,256
DropoutConstant[0.2;0.2;],SGD,sigmoid,32
DropoutConstant[0.1;0.1;],SGD,sigmoid,32
DropoutConstant[0.2;0.2;],SGD,sigmoid,64
DropoutConstant[0.1;0.1;],SGD,sigmoid,64
DropoutConstant[0.2;0.2;],SGD,sigmoid,128
DropoutConstant[0.1;0.1;],SGD,sigmoid,128
DropoutConstant[0.2;0.2;],SGD,sigmoid,256
DropoutConstant[0.1;0.1;],SGD,sigmoid,256
DropoutConstant[0.2;0.2;],SGD,softmax,32
DropoutConstant[0.1;0.1;],SGD,softmax,32
DropoutConstant[0.2;0.2;],SGD,softmax,64
DropoutConstant[0.1;0.1;],SGD,softmax,64
DropoutConstant[0.2;0.2;],SGD,softmax,128
DropoutConstant[0.1;0.1;],SGD,softmax,128
DropoutConstant[0.2;0.2;],SGD,softmax,256
DropoutConstant[0.1;0.1;],SGD,softmax,256
DropoutConstant[0.2;0.2;],Adam,tanh,32
DropoutConstant[0.1;0.1;],Adam,tanh,32
DropoutConstant[0.2;0.2;],Adam,tanh,64
DropoutConstant[0.1;0.1;],Adam,tanh,64
DropoutConstant[0.2;0.2;],Adam,tanh,128
DropoutConstant[0.1;0.1;],Adam,tanh,128
DropoutConstant[0.2;0.2;],Adam,tanh,256
DropoutConstant[0.1;0.1;],Adam,tanh,256
DropoutConstant[0.2;0.2;],Adam,relu,32
DropoutConstant[0.1;0.1;],Adam,relu,32
DropoutConstant[0.2;0.2;],Adam,relu,64
DropoutConstant[0.1;0.1;],Adam,relu,64
DropoutConstant[0.2;0.2;],Adam,relu,128
DropoutConstant[0.1;0.1;],Adam,relu,128
DropoutConstant[0.2;0.2;],Adam,relu,256
DropoutConstant[0.1;0.1;],Adam,relu,256
DropoutConstant[0.2;0.2;],Adam,sigmoid,32
DropoutConstant[0.1;0.1;],Adam,sigmoid,32
DropoutConstant[0.2;0.2;],Adam,sigmoid,64
DropoutConstant[0.1;0.1;],Adam,sigmoid,64
DropoutConstant[0.2;0.2;],Adam,sigmoid,128
DropoutConstant[0.1;0.1;],Adam,sigmoid,128
DropoutConstant[0.2;0.2;],Adam,sigmoid,256
DropoutConstant[0.1;0.1;],Adam,sigmoid,256
DropoutConstant[0.2;0.2;],Adam,softmax,32
DropoutConstant[0.1;0.1;],Adam,softmax,32
DropoutConstant[0.2;0.2;],Adam,softmax,64
DropoutConstant[0.1;0.1;],Adam,softmax,64
DropoutConstant[0.2;0.2;],Adam,softmax,128
DropoutConstant[0.1;0.1;],Adam,softmax,128
DropoutConstant[0.2;0.2;],Adam,softmax,256
DropoutConstant[0.1;0.1;],Adam,softmax,256
DropoutConstant[0.2;0.2;],Adamax,tanh,32
DropoutConstant[0.1;0.1;],Adamax,tanh,32
DropoutConstant[0.2;0.2;],Adamax,tanh,64
DropoutConstant[0.1;0.1;],Adamax,tanh,64
DropoutConstant[0.2;0.2;],Adamax,tanh,128
DropoutConstant[0.1;0.1;],Adamax,tanh,128
DropoutConstant[0.2;0.2;],Adamax,tanh,256
DropoutConstant[0.1;0.1;],Adamax,tanh,256
DropoutConstant[0.2;0.2;],Adamax,relu,32
DropoutConstant[0.1;0.1;],Adamax,relu,32
DropoutConstant[0.2;0.2;],Adamax,relu,64
DropoutConstant[0.1;0.1;],Adamax,relu,64
DropoutConstant[0.2;0.2;],Adamax,relu,128
DropoutConstant[0.1;0.1;],Adamax,relu,128
DropoutConstant[0.2;0.2;],Adamax,relu,256
DropoutConstant[0.1;0.1;],Adamax,relu,256
DropoutConstant[0.2;0.2;],Adamax,sigmoid,32
DropoutConstant[0.1;0.1;],Adamax,sigmoid,32
DropoutConstant[0.2;0.2;],Adamax,sigmoid,64
DropoutConstant[0.1;0.1;],Adamax,sigmoid,64
DropoutConstant[0.2;0.2;],Adamax,sigmoid,128
DropoutConstant[0.1;0.1;],Adamax,sigmoid,128
DropoutConstant[0.2;0.2;],Adamax,sigmoid,256
DropoutConstant[0.1;0.1;],Adamax,sigmoid,256
DropoutConstant[0.2;0.2;],Adamax,softmax,32
DropoutConstant[0.1;0.1;],Adamax,softmax,32
DropoutConstant[0.2;0.2;],Adamax,softmax,64
DropoutConstant[0.1;0.1;],Adamax,softmax,64
DropoutConstant[0.2;0.2;],Adamax,softmax,128
DropoutConstant[0.1;0.1;],Adamax,softmax,128
DropoutConstant[0.2;0.2;],Adamax,softmax,256
DropoutConstant[0.1;0.1;],Adamax,softmax,256
